"filename", "language", "JSON", "Python", "Shell Script", "Properties", "Markdown", "MS SQL", "Docker", "YAML", "plaintext", "JavaScript JSX", "JavaScript", "SCSS", "PostCSS", "XML", "TypeScript", "TypeScript JSX", "HTML", "comment", "blank", "total"
"c:\Users\Duc Viet\Documents\Đatn\Customer_Action_Data_Analys_Platform\website\frontend\src\pages\admins\Analytic\Analys.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 304, 0, 0, 0, 0, 0, 4, 46, 354
"c:\Users\Duc Viet\Documents\Đatn\Customer_Action_Data_Analys_Platform\website\frontend\src\pages\admins\CategoryPages\AddCategory.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 2, 14, 117
"c:\Users\Duc Viet\Documents\Đatn\Customer_Action_Data_Analys_Platform\website\frontend\src\pages\admins\CategoryPages\AddCategoryForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 14, 10, 120
"c:\Users\Duc Viet\Documents\Đatn\Customer_Action_Data_Analys_Platform\website\frontend\src\pages\admins\CategoryPages\CategoryList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 16, 12, 126
"c:\Users\Duc Viet\Documents\Đatn\Customer_Action_Data_Analys_Platform\website\frontend\src\pages\admins\CategoryPages\CategoryList.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 4, 11, 79
"c:\Users\Duc Viet\Documents\Đatn\Customer_Action_Data_Analys_Platform\website\frontend\src\pages\admins\CustomerPages\CustomTableCustomer.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 1, 4, 36
"c:\Users\Duc Viet\Documents\Đatn\Customer_Action_Data_Analys_Platform\website\frontend\src\pages\admins\CustomerPages\CustomerList.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 12, 114
"c:\Users\Duc Viet\Documents\Đatn\Customer_Action_Data_Analys_Platform\website\frontend\src\pages\admins\CustomerPages\CustomerList.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 8, 7, 52
"c:\Users\Duc Viet\Documents\Đatn\Customer_Action_Data_Analys_Platform\website\frontend\src\pages\admins\OrderPages\CustomTable.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 1, 3, 35
"c:\Users\Duc Viet\Documents\Đatn\Customer_Action_Data_Analys_Platform\website\frontend\src\pages\admins\OrderPages\ModalOrderDetail.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 8, 41
